Id,Fecha,Ruta,Operador,Trayecto,Modelo del Avion,Registro,Total a Bordo,Pasajeros a bordo,Tripulantes a bordo,Total Fallecidos,Fatalidad Pasajeros,Fatalidad Tripulantes,Fatalidad en Tierra,Año,Tipo de Operador,Origen
426,1936-07-31,"Channel Islands,Jersey",Guernsey Airways,Saint Pierre - Saint-Hélier,Saro A-19 Cloud,G-ABXW,10,8,2,10,8,2,0,1936,Comercial,United Kingdom
427,1936-08-02,"Mazamet,France",Air France,Paris - Toulouse - Dakar - Natal - Rio de Janeiro,Wibault 280,"F-ANBLF-ANBL",3,0,3,3,0,3,0,1936,Comercial,No encontrado
428,1936-08-03,"Ciudad Serdan,Mexico",Mexicana,Desconocido,Lockheed 9 Orion,XA-BAY,1,0,1,1,0,1,0,1936,Comercial,Mexico
429,1936-08-05,"St. Louis,Missouri",Chicago Southern Airlines,New Orleans - Chicago,Lockheed 10B Electra,NC16022,8,6,2,8,6,2,0,1936,Comercial,United States
430,1936-08-06,"Choco,Colombia",SCADTA,Desconocido,Junkers F-13,C-40,3,1,2,2,1,1,0,1936,Comercial,Canada
431,1936-08-12,"Altenkirchen,Germany",British Airways,Hanover - Cologne - London-Gatwick,De Havilland DH-86,G-ADEB,2,0,2,2,0,2,0,1936,Comercial,United Kingdom
432,1936-08-22,"Mirabella,Greece",Imperial Airways,Alexandria - Mirabella - Brindisi - Southampton,Short S-17 Kent,G-ABFA,11,8,3,2,2,0,0,1936,Comercial,United Kingdom
433,1936-09-05,"Pittsburgh,Pennsylvania",Pittsburgh Skyways Inc.,Sightseeing,Stinson SM 6000B,NC117S,11,10,1,10,9,1,0,1936,Comercial,United States
434,1936-09-24,"Benghazi,Libya",Ala Littoria SA,"Addis Ababa, Ethiopia - Rome, Italy",CRDA CANT Z-506,I-RODI,10,7,3,9,7,2,0,1936,Comercial,Italy
435,1936-09-25,English Channel,Imperial Airways,Croydon - Paris,Boulton and Paul P-71,G-ACOX,2,0,2,2,0,2,0,1936,Comercial,United Kingdom
